index,xp,yp,xt,yt,xm,ym
0,-25.367572018748067,-13.67378737182617,-2.4240716,-0.6855419,-45.899944506688996,6.12569847027744
1,-37.41475461910043,18.98494213773837,-9.814113,-2.3046856,-25.859813882699722,44.413552357284956
2,-22.114292406109282,-22.463171417246386,-0.65245855,-1.8601307,-40.064363843318375,0.8266196220769512
3,-10.960335885198253,-13.463678060181424,-0.58598024,-0.94066656,-30.102803946085242,-5.044486101855141
4,-28.01480941529236,8.174002820123293,-4.076883,-10.4026165,-12.771178512153845,28.910035664223077
5,-39.60206422392993,23.339593374540673,-8.484125,-10.4969225,2.1742275928386827,53.30224679218614
6,-25.618382209247827,4.2452970093723055,-7.0250154,-2.772616,-15.289803155636825,22.065871421829037
7,-46.4773367325637,5.518099464172283,-8.737717,-6.219538,-30.9257541999084,42.67476446839554
8,-22.990654417298174,13.883838047355706,-12.53322,-3.8455439,0.19454325406746123,26.76770708329557
9,-35.52926157710494,-1.031121302541387,-9.116084,0.80638814,22.63812195300724,48.29382183696494
10,-40.729554665606486,-0.16643206528477328,-6.634117,-11.110087,-33.56721463684435,36.5246550724584
11,-49.177701766148175,32.49599625989783,-12.399852,-7.002864,-14.876945068061236,65.4544215595857
12,-25.84377201016721,8.556891414771865,-5.8241177,-9.603755,0.8648679955322461,29.85249906930392
13,-25.783910928097924,4.998935503456053,-6.310333,-8.999044,-9.257674601831612,25.625358602554478
14,-21.544806699205743,-2.6715951793529418,-4.816968,-2.419792,-30.2251720428836,12.721101323792459
15,-31.123942947817422,12.742049127447522,-9.17848,-3.1494663,-28.84992041824878,32.89274383440895
16,-20.36382669189413,-18.686755643537435,-3.9490716,0.67909545,-31.603228436661833,2.855458454416766
17,-40.019566697874545,24.029861420995815,-9.241647,-9.834623,9.851647671803299,53.34834797521235
18,-39.344961906005906,18.608128203474347,-9.241347,-7.9517903,-10.203732052021916,44.691123957320826
19,-40.098125600812274,12.632518653411353,-9.283628,-6.96412,-17.64491365908775,42.091899674033414
20,-30.187375738108063,16.08419059232544,-5.694052,-6.7618766,1.7047774384650607,38.30986510263418
21,-26.945842694756212,1.5915328863251998,-5.1022005,-9.10885,-2.6107262131782836,27.31564684034486
22,-7.462815541591512,-10.837689684804985,-1.6958766,-0.106104985,-17.375680987694192,-4.527917381782638
23,-41.1500898868223,8.181773582278227,-8.458913,-6.1433086,-21.279418479849912,39.56776830198047
24,-46.00991381700378,19.713439923458647,-10.496248,-7.748778,-19.0389573861762,54.879149105712536
25,-30.700389178780725,5.768009208148833,-7.5378795,-2.9531803,-20.009284853622965,28.4695699089525
26,-60.81815509033103,31.613388371239683,-12.689721,-6.8951063,-19.267165829915005,74.44055179397205
27,-25.31670667272115,6.3253692116803135,-8.12569,-2.1628783,-16.510386967656483,24.252679248876586
28,-37.103773755175716,15.141965174420978,-10.272419,-6.856617,-29.576530174742174,42.298176715701544
29,-22.162191875419023,-17.634145862073527,-4.002925,-0.008993927,-29.19397497824134,6.318504593663528
30,-20.606320577626597,3.036336773686145,-6.4583387,-2.2426536,-14.789250549653046,17.001860556400622
31,-29.506569392939625,4.761589306515371,-8.237191,-1.0817538,-34.313038724598414,24.863913167804597
32,-33.62846714971901,15.996007163320105,-7.6679525,-8.629228,-1.2525486261363736,41.337259758389095
33,-35.49386737312973,14.570781807114747,-8.056209,-9.02502,1.5289977375272352,42.516563761223026
34,-24.76731070510696,-4.895534519940746,-5.381271,0.69992334,-40.870961251057814,13.378113591965555
35,-41.47871398607088,24.806840745921154,-10.230819,-2.137947,-30.75951074811028,52.479788810383404
36,-36.77021859400631,24.659493385692567,-15.34547,-4.778864,3.8382884335221763,49.30545232011469
37,-46.751427324441025,31.968049774408595,-12.128473,-7.6172404,-0.07513149269142648,64.55989419047306
38,-25.046270166140594,-0.3551280112557015,-5.645784,-2.1597598,-23.040240087200246,19.729155960188418
